Type,Sequence_Number,Sequence_Name,Description,Key_Learning_Points,Step_Number,Timing,Key_Points,Common_Mistakes,Attack_Technique,Attack_Movement,Attack_Stance,Attack_Target,Defense_Technique,Defense_Movement,Defense_Stance,Defense_Target,Counter_Technique,Counter_Movement,Counter_Stance,Counter_Target
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,1,Simultaneous,Step forward with right foot while executing attack; defender steps back and blocks,Poor timing; weak blocks; incorrect distance,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,Walking Stance,Middle Section,,,,
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,2,Simultaneous,Continue forward momentum; maintain guard position,Dropping guard; poor footwork,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Left Leg Back,Walking Stance,Middle Section,,,,
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,3,Block then counter,Final attack with immediate counter; control distance,No counter-attack; poor control,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,Walking Stance,Middle Section,Reverse Punch,-,Walking Stance,Middle Section
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,1,Simultaneous,Execute high rising block against head-level attack,Low block position; poor arm angle,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,2,Simultaneous,Maintain block height; stay centered,Block too low; off-balance,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,3,Block then counter,Final block with immediate punch counter,Delayed counter; weak punch,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,Knife Hand Strike,-,Walking Stance,High Section
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,1,Simultaneous,Execute proper downward block against low attack,Block too high; poor stance,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,2,Simultaneous,Maintain low block position; good balance,Rising block position; off-balance,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,3,Block then counter,Final low block with punch counter,No counter; poor timing,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Right Leg Back,L Stance,Middle Section,Back Fist Front Strike,-,L Stance,High Section
three_step,4,Basic Three-Step Sequence #4,Fourth sequence with mixed blocking techniques,Block variety; smooth transitions; timing control,1,Simultaneous,Alternate between high and middle blocks,Inconsistent blocks; poor rhythm,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
