Belt Level,Belt ID,,Section ID,Title,Category,Content Summary,Question Count,Sample Questions
1st Keup,1st_keup,1,belt_meaning,Black Belt Meaning,Belt Knowledge,Black Belt signifies the opposite of White Belt; maturity and proificiency in Tae Kwon Do. This also signifies the student's imperviousness to fear.,2,
3rd Keup,3rd_keup,2,belt_meaning,Red Belt Meaning,Belt Knowledge,"Red Belt signifies danger, and shows caution for the student to exercise control and for opponent's to be aware.",2,
3rd Keup,3rd_keup,3,belt_meaning,Red Belt Meaning,Belt Knowledge,"Red Belt signifies danger, and shows caution for the student to exercise control and for opponent's to be aware.",2,
5th Keup,5th_keup,4,belt_meaning,Blue Belt Meaning,Belt Knowledge,"Blue Belt signifies the sky toward which a plant grows into a towering tree, just as a student's training in Tae Kwon Do progresses.",2,
5th Keup,5th_keup,5,belt_meaning,Blue Belt Meaning,Belt Knowledge,"Blue Belt signifies the sky toward which a plant grows into a towering tree, just as a student's training in Tae Kwon Do progresses.",2,
7th Keup,7th_keup,6,belt_meaning,Green Belt Meaning,Belt Knowledge,Green Belt signifies the plant as it grows - just as a studen'ts skills in Taekwondo begin developing and strengthening.,2,
7th Keup,7th_keup,7,belt_meaning,Green Belt Meaning,Belt Knowledge,Green Belt signifies the plant as it grows - just as a studen'ts skills in Taekwondo begin developing and strengthening.,2,
9th Keup,9th_keup,8,belt_meaning,Yellow Belt Meaning,Belt Knowledge,"Yellow Belt signifies the earth, in which a plant takes root and springs to life as the foundations of Tae Kwon Do are laid.",2,
9th Keup,9th_keup,9,belt_meaning,Yellow Belt Meaning,Belt Knowledge,"Yellow Belt signifies the earth, in which a plant takes root and springs to life as the foundations of Tae Kwon Do are laid.",2,
10th Keup,10th_keup,10,belt_meaning,White Belt Meaning,Belt Knowledge,"White Belt signifies innocence, as that of a student who has no prior knowledge of Taekwondo.",1,
1st Keup,1st_keup,1,pattern_meaning,Choong Moo Meaning,Pattern Knowledge,,2,
